,fecha_I,fecha_O,temporada_alta,dif_min,atraso_15,periodo_dia
0,2017-01-01 23:30:00,2017-01-01 23:33:00,1,3,0,noche
1,2017-01-02 23:30:00,2017-01-02 23:39:00,1,9,0,noche
2,2017-01-03 23:30:00,2017-01-03 23:39:00,1,9,0,noche
3,2017-01-04 23:30:00,2017-01-04 23:33:00,1,3,0,noche
4,2017-01-05 23:30:00,2017-01-05 23:28:00,1,2,0,noche
5,2017-01-06 23:30:00,2017-01-07 00:04:00,1,34,1,noche
6,2017-01-07 23:30:00,2017-01-07 23:25:00,1,5,0,noche
7,2017-01-08 23:30:00,2017-01-08 23:25:00,1,5,0,noche
8,2017-01-09 23:30:00,2017-01-10 00:10:00,1,40,1,noche
9,2017-01-11 23:30:00,2017-01-12 00:39:00,1,69,1,noche
10,2017-01-14 23:30:00,2017-01-14 23:21:00,1,9,0,noche
11,2017-01-16 23:30:00,2017-01-16 23:44:00,1,14,0,noche
12,2017-01-18 23:30:00,2017-01-18 23:23:00,1,7,0,noche
13,2017-01-21 23:30:00,2017-01-21 23:26:00,1,4,0,noche
14,2017-01-23 23:30:00,2017-01-23 23:19:00,1,11,0,noche
15,2017-01-25 23:30:00,2017-01-25 23:21:00,1,9,0,noche
16,2017-01-28 23:30:00,2017-01-28 23:21:00,1,9,0,noche
17,2017-01-30 23:30:00,2017-01-30 23:18:00,1,12,0,noche
18,2017-01-01 22:00:00,2017-01-01 22:15:00,1,15,0,noche
19,2017-01-02 22:00:00,2017-01-02 21:58:00,1,2,0,noche
20,2017-01-03 22:00:00,2017-01-03 22:02:00,1,2,0,noche
21,2017-01-04 22:00:00,2017-01-04 22:08:00,1,8,0,noche
22,2017-01-05 22:00:00,2017-01-05 21:55:00,1,5,0,noche
23,2017-01-06 22:00:00,2017-01-06 22:52:00,1,52,1,noche
24,2017-01-07 22:00:00,2017-01-07 21:55:00,1,5,0,noche
25,2017-01-08 22:00:00,2017-01-08 22:00:00,1,0,0,noche
26,2017-01-09 22:00:00,2017-01-09 22:26:00,1,26,1,noche
27,2017-01-10 22:00:00,2017-01-10 21:57:00,1,3,0,noche
28,2017-01-11 22:00:00,2017-01-11 21:55:00,1,5,0,noche
29,2017-01-12 22:00:00,2017-01-12 22:02:00,1,2,0,noche
30,2017-01-13 22:00:00,2017-01-13 22:02:00,1,2,0,noche
31,2017-01-14 22:00:00,2017-01-14 21:53:00,1,7,0,noche
32,2017-01-15 22:00:00,2017-01-15 21:59:00,1,1,0,noche
33,2017-01-16 22:00:00,2017-01-16 22:05:00,1,5,0,noche
34,2017-01-17 22:00:00,2017-01-17 21:56:00,1,4,0,noche
35,2017-01-18 22:00:00,2017-01-18 22:01:00,1,1,0,noche
36,2017-01-19 22:00:00,2017-01-19 21:55:00,1,5,0,noche
37,2017-01-21 22:00:00,2017-01-21 22:03:00,1,3,0,noche
38,2017-01-22 22:00:00,2017-01-22 21:58:00,1,2,0,noche
39,2017-01-23 22:00:00,2017-01-23 21:56:00,1,4,0,noche
40,2017-01-24 22:00:00,2017-01-24 21:54:00,1,6,0,noche
41,2017-01-25 22:00:00,2017-01-25 22:04:00,1,4,0,noche
42,2017-01-26 22:00:00,2017-01-26 21:56:00,1,4,0,noche
43,2017-01-27 22:00:00,2017-01-27 21:56:00,1,4,0,noche
44,2017-01-28 22:00:00,2017-01-28 21:51:00,1,9,0,noche
45,2017-01-29 22:00:00,2017-01-29 21:50:00,1,10,0,noche
46,2017-01-30 22:00:00,2017-01-30 22:00:00,1,0,0,noche
47,2017-01-31 22:00:00,2017-01-31 21:58:00,1,2,0,noche
48,2017-01-01 22:30:00,2017-01-01 22:31:00,1,1,0,noche
49,2017-01-02 22:30:00,2017-01-02 22:26:00,1,4,0,noche
50,2017-01-03 22:30:00,2017-01-03 22:40:00,1,10,0,noche
51,2017-01-04 22:30:00,2017-01-04 22:50:00,1,20,1,noche
52,2017-01-05 22:30:00,2017-01-05 22:41:00,1,11,0,noche
53,2017-01-06 22:30:00,2017-01-06 22:54:00,1,24,1,noche
54,2017-01-07 22:30:00,2017-01-07 22:25:00,1,5,0,noche
55,2017-01-08 22:30:00,2017-01-08 22:23:00,1,7,0,noche
56,2017-01-09 22:30:00,2017-01-09 22:44:00,1,14,0,noche
57,2017-01-10 22:30:00,2017-01-10 22:35:00,1,5,0,noche
58,2017-01-11 22:30:00,2017-01-11 22:30:00,1,0,0,noche
59,2017-01-12 22:30:00,2017-01-12 22:55:00,1,25,1,noche
60,2017-01-13 22:30:00,2017-01-13 22:31:00,1,1,0,noche
61,2017-01-14 22:30:00,2017-01-14 22:30:00,1,0,0,noche
62,2017-01-15 22:30:00,2017-01-15 22:26:00,1,4,0,noche
63,2017-01-16 22:30:00,2017-01-16 22:43:00,1,13,0,noche
64,2017-01-17 22:30:00,2017-01-17 22:27:00,1,3,0,noche
65,2017-01-18 22:30:00,2017-01-18 22:32:00,1,2,0,noche
66,2017-01-19 22:30:00,2017-01-19 22:25:00,1,5,0,noche
67,2017-01-20 22:30:00,2017-01-20 22:30:00,1,0,0,noche
68,2017-01-21 22:30:00,2017-01-21 22:28:00,1,2,0,noche
69,2017-01-22 22:30:00,2017-01-22 22:33:00,1,3,0,noche
70,2017-01-23 22:30:00,2017-01-23 22:21:00,1,9,0,noche
71,2017-01-24 22:30:00,2017-01-24 22:35:00,1,5,0,noche
72,2017-01-25 22:30:00,2017-01-25 22:27:00,1,3,0,noche
73,2017-01-26 22:30:00,2017-01-26 22:26:00,1,4,0,noche
74,2017-01-27 22:30:00,2017-01-27 22:20:00,1,10,0,noche
75,2017-01-28 22:30:00,2017-01-28 22:21:00,1,9,0,noche
76,2017-01-29 22:30:00,2017-01-29 23:32:00,1,62,1,noche
77,2017-01-30 22:30:00,2017-01-30 22:32:00,1,2,0,noche
78,2017-01-31 22:30:00,2017-01-31 22:22:00,1,8,0,noche
79,2017-01-01 13:35:00,2017-01-01 13:54:00,1,19,1,tarde
80,2017-01-02 13:35:00,2017-01-02 14:35:00,1,60,1,tarde
81,2017-01-03 13:35:00,2017-01-03 13:52:00,1,17,1,tarde
82,2017-01-04 13:35:00,2017-01-04 14:01:00,1,26,1,tarde
83,2017-01-05 13:35:00,2017-01-05 13:49:00,1,14,0,tarde
84,2017-01-06 13:35:00,2017-01-06 14:42:00,1,67,1,tarde
85,2017-01-07 13:35:00,2017-01-07 14:59:00,1,84,1,tarde
86,2017-01-08 13:35:00,2017-01-08 14:38:00,1,63,1,tarde
87,2017-01-09 13:35:00,2017-01-09 15:12:00,1,97,1,tarde
88,2017-01-10 13:35:00,2017-01-10 13:52:00,1,17,1,tarde
89,2017-01-11 13:35:00,2017-01-11 15:05:00,1,90,1,tarde
90,2017-01-12 13:35:00,2017-01-12 15:45:00,1,130,1,tarde
91,2017-01-13 13:35:00,2017-01-13 13:59:00,1,24,1,tarde
